FLY 0.5;0.5;9;4.45
FLY 0.75;0.75;12;6.675
FLY 1;1;15;8.9
FLY 1.5;1.5;20;13.35
FLY 2;2;26;17.8
FLY 2.5;2.5;32;22.25
FLY 3;3;38;26.7
FLY 4;4;49;35.6
FLY 6;6;69;53.4
FLY 10;10;113;89
FLY 16;16;181;142.4
FLY 25;25;288;222.5
FLY 35;35;361;311.5
FLY 2;40;438;356
FLY 50;50;521;445
FLY 70;70;716;623
FLY 95;95;918;845.5
FLY 120;120;1220;1068
FLRY-A 0.22;0.22;3;1.958
FLRY-A 0.35;0.35;5;3.115
FLRY-A 0.5;0.5;7;4.45
FLRY-A 0.75;0.75;9;6.675
FLRY-A 1;1;11;8.9
FLRY-A 1.5;1.5;16;13.35
FLRY-A 2;2;22;17.8
FLRY-A 2.5;2.5;26;22.25
FLRY-B 0.35;0.35;5;3.115
FLRY-B 0.5;0.5;7;4.45
FLRY-B 0.75;0.75;9;6.675
FLRY-B 1;1;11;8.9
FLRY-B 1.5;1.5;16;13.35
FLRY-B 2;2;23;17.8
FLRY-B 2.5;2.5;26;22.25
FLRY-B 3;3;34;26.7
FLRY-B 4;4;42;35.6
FLRY-B 6;6;61;53.4
FLRY-B 10;10;108;89
FLRY-B 16;16;170;142.4
